filter,sl_atr,rr,period,trades,wr,pf,ev,ev_comm,ev_stress,total,maxdd,positive_years,years
NONE,1.25,0.3,TRAIN_2012_2021,440,0.5454545454545454,0.35999999999999993,-0.2909090909090909,-0.31826255175168294,-0.33193928217297897,-128.0,128.60000000000042,0,10
NONE,1.25,0.3,OOS_2022_2026,197,0.5583756345177665,0.379310344827586,-0.27411167512690354,-0.3044520680054011,-0.31962226444464986,-54.0,54.000000000000114,0,5
NONE,1.25,0.3,YTD_2026,28,0.5714285714285714,0.39999999999999997,-0.2571428571428572,-0.2893616461727486,-0.30547104068769443,-7.200000000000001,8.000000000000002,0,1
NONE,1.25,0.3,FULL_2012_2026,637,0.5494505494505495,0.3658536585365853,-0.28571428571428575,-0.3139914916292064,-0.3281300945866668,-182.00000000000003,182.29999999999916,0,15
NONE,1.25,0.4,TRAIN_2012_2021,440,0.5227272727272727,0.4380952380952381,-0.2681818181818182,-0.29553527902441024,-0.3092120094457062,-118.0,118.99999999999977,0,10
NONE,1.25,0.4,OOS_2022_2026,197,0.5228426395939086,0.4382978723404254,-0.26802030456852793,-0.2983606974470254,-0.3135308938862742,-52.800000000000004,52.80000000000009,0,5
NONE,1.25,0.4,YTD_2026,28,0.4642857142857143,0.34666666666666673,-0.35,-0.3822187890298915,-0.3983281835448372,-9.799999999999999,9.799999999999997,0,1
NONE,1.25,0.4,FULL_2012_2026,637,0.5227629513343799,0.4381578947368421,-0.2681318681318681,-0.29640907404678885,-0.31054767700424923,-170.8,171.39999999999918,0,15
NONE,1.25,0.5,TRAIN_2012_2021,440,0.49318181818181817,0.48654708520179374,-0.26022727272727275,-0.28758073356986474,-0.3012574639911607,-114.5,116.0,0,10
NONE,1.25,0.5,OOS_2022_2026,197,0.4873096446700508,0.47966638998325056,-0.2643124387097469,-0.29465283158824446,-0.30982302802749323,-52.06955042582014,52.06955042582014,0,5
NONE,1.25,0.5,YTD_2026,28,0.4642857142857143,0.43333333333333335,-0.30357142857142855,-0.33579021760132,-0.35189961211626575,-8.5,8.5,0,1
NONE,1.25,0.5,FULL_2012_2026,637,0.4913657770800628,0.48441581632724595,-0.2614906600091368,-0.2897678659240575,-0.30390646888151795,-166.56955042582013,167.56955042582015,0,15
NONE,1.25,0.6,TRAIN_2012_2021,440,0.45227272727272727,0.4970813836562945,-0.27455026282046574,-0.3019037236630577,-0.3155804540843537,-120.80211564100492,122.80211564100509,0,10
NONE,1.25,0.6,OOS_2022_2026,197,0.4517766497461929,0.5032856790989858,-0.2675267043314537,-0.2978670972099513,-0.31303729364919997,-52.70276075329638,52.70276075329632,0,5
NONE,1.25,0.6,YTD_2026,28,0.4642857142857143,0.5199999999999999,-0.2571428571428572,-0.2893616461727486,-0.3054710406876944,-7.200000000000001,7.200000000000003,0,1
NONE,1.25,0.6,FULL_2012_2026,637,0.4521193092621664,0.498982289245187,-0.27237814190628146,-0.3006553478212022,-0.31479395077866257,-173.50487639430128,174.904876394302,0,15
NONE,1.25,0.75,TRAIN_2012_2021,440,0.41818181818181815,0.5407478682274164,-0.2663684446386475,-0.29372190548123944,-0.30739863590253547,-117.2021156410049,119.9521156410049,0,10
NONE,1.25,0.75,OOS_2022_2026,197,0.39086294416243655,0.48898094872340336,-0.3063591916410984,-0.336699584519596,-0.3518697809588447,-60.35276075329639,60.60276075329639,0,5
NONE,1.25,0.75,YTD_2026,28,0.39285714285714285,0.4852941176470588,-0.3125,-0.34471878902989145,-0.3608281835448372,-8.75,9.0,0,1
NONE,1.25,0.75,FULL_2012_2026,637,0.4097331240188383,0.52437032671719,-0.2787360696927807,-0.3070132756077014,-0.32115187856516175,-177.5548763943013,179.8048763943013,0,15
NONE,1.25,1.0,TRAIN_2012_2021,440,0.3795454545454545,0.6096451417358676,-0.2414895869778215,-0.2688430478204135,-0.2825197782417095,-106.25541827024146,110.25541827024145,0,10
NONE,1.25,1.0,OOS_2022_2026,197,0.3248730964467005,0.49152387980846535,-0.33607769311269076,-0.3664180859911883,-0.3815882824304371,-66.20730554320008,66.20730554320008,0,5
NONE,1.25,1.0,YTD_2026,28,0.2857142857142857,0.4,-0.42857142857142855,-0.46079021760132,-0.47689961211626575,-12.0,12.0,0,1
NONE,1.25,1.0,FULL_2012_2026,637,0.3626373626373626,0.5714247362650691,-0.27074210959723943,-0.2990193155121602,-0.3131579184696206,-172.46272381344153,175.46272381344156,0,15
NONE,1.5,0.2,TRAIN_2012_2021,440,0.7159090909090909,0.5039999999999999,-0.1409090909090909,-0.16370364161125092,-0.17510091696233093,-61.99999999999999,64.19999999999982,0,10
NONE,1.5,0.2,OOS_2022_2026,197,0.6751269035532995,0.4156249999999999,-0.18984771573604065,-0.2151313764681219,-0.22777320683416252,-37.400000000000006,37.60000000000004,1,5
NONE,1.5,0.2,YTD_2026,28,0.6428571428571429,0.36000000000000004,-0.2285714285714286,-0.25542041942967153,-0.2688449148587929,-6.4,7.199999999999999,0,1
NONE,1.5,0.2,FULL_2012_2026,637,0.7032967032967034,0.4740740740740741,-0.15604395604395604,-0.17960829430638997,-0.19139046343760696,-99.4,100.99999999999943,1,15
NONE,1.5,0.25,TRAIN_2012_2021,440,0.6886363636363636,0.5529197080291971,-0.13920454545454544,-0.1619990961567055,-0.17339637150778545,-61.25,62.5,0,10
NONE,1.5,0.25,OOS_2022_2026,197,0.6649746192893401,0.4962121212121212,-0.16878172588832488,-0.19406538662040612,-0.2067072169864468,-33.25,33.5,1,5
NONE,1.5,0.25,YTD_2026,28,0.6071428571428571,0.38636363636363635,-0.24107142857142858,-0.2679204194296715,-0.28134491485879287,-6.75,7.75,0,1
NONE,1.5,0.25,FULL_2012_2026,637,0.6813186813186813,0.5344827586206896,-0.14835164835164835,-0.1719159866140823,-0.18369815574529927,-94.5,95.0,1,15
NONE,1.5,0.3,TRAIN_2012_2021,440,0.6772727272727272,0.6295774647887323,-0.11954545454545455,-0.1423400052476146,-0.1537372805986946,-52.6,55.2000000000001,0,10
NONE,1.5,0.3,OOS_2022_2026,197,0.6395939086294417,0.5323943661971827,-0.1685279187817259,-0.19381157951380718,-0.20645340987984784,-33.2,33.49999999999994,1,5
NONE,1.5,0.3,YTD_2026,28,0.5357142857142857,0.3461538461538461,-0.30357142857142855,-0.3304204194296715,-0.34384491485879304,-8.5,8.5,0,1
NONE,1.5,0.3,FULL_2012_2026,637,0.6656200941915228,0.597183098591549,-0.1346938775510204,-0.15825821581345434,-0.17004038494467133,-85.8,86.80000000000052,1,15
NONE,1.5,0.4,TRAIN_2012_2021,440,0.6227272727272727,0.6602409638554215,-0.1281818181818182,-0.15097636888397817,-0.16237364423505818,-56.400000000000006,61.6000000000001,0,10
NONE,1.5,0.4,OOS_2022_2026,197,0.5736040609137056,0.5441983009682436,-0.1921723791278348,-0.21745603985991604,-0.23009787022595668,-37.85795868818346,38.25795868818353,0,5
NONE,1.5,0.4,YTD_2026,28,0.5,0.4000000000000001,-0.29999999999999993,-0.3268489908582429,-0.3402734862873644,-8.399999999999999,8.399999999999997,0,1
NONE,1.5,0.4,FULL_2012_2026,637,0.6075353218210361,0.6215420732400971,-0.14797167768945596,-0.17153601595188991,-0.18331818508310688,-94.25795868818345,95.65795868818319,0,15
NONE,1.5,0.5,TRAIN_2012_2021,440,0.5590909090909091,0.6398171150085363,-0.1573691699433338,-0.18016372064549382,-0.1915609959965738,-69.24243477506687,75.74243477506687,0,10
NONE,1.5,0.5,OOS_2022_2026,197,0.5380710659898477,0.5949331855589041,-0.18317580690903715,-0.20845946764111845,-0.22110129800715908,-36.08563396108032,36.58563396108032,0,5
NONE,1.5,0.5,YTD_2026,28,0.5,0.5,-0.25,-0.2768489908582429,-0.2902734862873643,-7.0,7.0,0,1
NONE,1.5,0.5,FULL_2012_2026,637,0.5525902668759811,0.6256041240060813,-0.1653501863989752,-0.18891452466140912,-0.20069669379262614,-105.3280687361472,107.32806873614719,0,15
NONE,1.5,0.6,TRAIN_2012_2021,440,0.5318181818181819,0.6874183621764162,-0.14509644267060653,-0.16789099337276658,-0.17928826872384657,-63.84243477506688,73.04243477506682,1,10
NONE,1.5,0.6,OOS_2022_2026,197,0.48223350253807107,0.5695123040551977,-0.218708801832895,-0.24399246256497636,-0.25663429293101697,-43.08563396108032,44.08563396108024,0,5
NONE,1.5,0.6,YTD_2026,28,0.42857142857142855,0.4499999999999999,-0.31428571428571433,-0.3411347051439573,-0.3545592005730787,-8.8,8.800000000000002,0,1
NONE,1.5,0.6,FULL_2012_2026,637,0.5164835164835165,0.6486421079060769,-0.16786196033932055,-0.19142629860175453,-0.20320846773297147,-106.92806873614718,109.5280687361477,1,15
NONE,1.5,0.75,TRAIN_2012_2021,440,0.48863636363636365,0.7201742612336623,-0.14197495280665692,-0.16476950350881694,-0.17616677885989696,-62.468979234929044,70.46897923492904,0,10
NONE,1.5,0.75,OOS_2022_2026,197,0.43147208121827413,0.5839369009446109,-0.2305723584737736,-0.2558560192058549,-0.26849784957189554,-45.4227546193334,47.1727546193334,0,5
NONE,1.5,0.75,YTD_2026,28,0.2857142857142857,0.3,-0.5,-0.526848990858243,-0.5402734862873644,-14.0,14.0,0,1
NONE,1.5,0.75,FULL_2012_2026,637,0.47095761381475665,0.6754307946913574,-0.16937477842113413,-0.19293911668356806,-0.20472128581478508,-107.89173385426244,110.14173385426244,0,15
NONE,1.5,1.0,TRAIN_2012_2021,440,0.4318181818181818,0.7604424107306536,-0.13464580664889683,-0.15744035735105688,-0.16883763270213686,-59.24415492551461,69.67304114010457,2,10
NONE,1.5,1.0,OOS_2022_2026,197,0.39593908629441626,0.6653475677091395,-0.1973476898441077,-0.22263135057618896,-0.23527318094222963,-38.87749489928922,41.87749489928922,1,5
NONE,1.5,1.0,YTD_2026,28,0.25,0.3333333333333333,-0.5,-0.526848990858243,-0.5402734862873644,-14.0,14.0,0,1
NONE,1.5,1.0,FULL_2012_2026,637,0.4207221350078493,0.7300488491574696,-0.1540371268835225,-0.1776014651459564,-0.18938363427717342,-98.12164982480382,108.55053603939379,3,15
NONE,1.75,0.2,TRAIN_2012_2021,440,0.7772727272727272,0.6979591836734692,-0.06727272727272726,-0.08681091358886442,-0.09658000674693301,-29.599999999999994,31.200000000000063,1,10
NONE,1.75,0.2,OOS_2022_2026,197,0.7360406091370558,0.5576923076923076,-0.116751269035533,-0.13842297823445981,-0.1492588328339232,-23.0,23.20000000000006,1,5
NONE,1.75,0.2,YTD_2026,28,0.6785714285714286,0.4222222222222223,-0.18571428571428572,-0.20872770644992245,-0.22023441681774086,-5.2,5.799999999999998,0,1
NONE,1.75,0.2,FULL_2012_2026,637,0.7645211930926217,0.6493333333333333,-0.08257456828885401,-0.10277257251379737,-0.11287157462626907,-52.6,53.59999999999981,2,15
NONE,1.75,0.25,TRAIN_2012_2021,440,0.7568181818181818,0.7780373831775701,-0.05397727272727273,-0.07351545904340988,-0.08328455220147847,-23.75,26.5,4,10
NONE,1.75,0.25,OOS_2022_2026,197,0.7157360406091371,0.6294642857142857,-0.10532994923857868,-0.1270016584375055,-0.1378375130369689,-20.75,21.5,1,5
NONE,1.75,0.25,YTD_2026,28,0.6071428571428571,0.38636363636363635,-0.24107142857142858,-0.26408484930706533,-0.27559155967488375,-6.75,6.75,0,1
NONE,1.75,0.25,FULL_2012_2026,637,0.7441130298273155,0.7269938650306749,-0.06985871271585557,-0.09005671694079896,-0.10015571905327064,-44.5,46.5,5,15
NONE,1.75,0.3,TRAIN_2012_2021,440,0.725,0.7909090909090908,-0.05750000000000001,-0.07703818631613717,-0.08680727947420576,-25.300000000000004,27.99999999999995,1,10
NONE,1.75,0.3,OOS_2022_2026,197,0.6751269035532995,0.6234375000000001,-0.12233502538071067,-0.14400673457963747,-0.15484258917910088,-24.1,25.299999999999947,1,5
NONE,1.75,0.3,YTD_2026,28,0.5714285714285714,0.39999999999999997,-0.2571428571428572,-0.2801562778784939,-0.2916629882463123,-7.200000000000001,7.200000000000002,0,1
NONE,1.75,0.3,FULL_2012_2026,637,0.7095761381475667,0.7329729729729728,-0.07755102040816328,-0.09774902463310665,-0.10784802674557832,-49.400000000000006,50.50000000000012,2,15
NONE,1.75,0.4,TRAIN_2012_2021,440,0.6454545454545455,0.7402919698709265,-0.09057492738551977,-0.11011311370165693,-0.11988220685972549,-39.8529680496287,45.652968049628754,2,10
NONE,1.75,0.4,OOS_2022_2026,197,0.6395939086294417,0.7194893796660322,-0.09974456282023257,-0.12141627201915936,-0.13225212661862276,-19.649678875585817,22.249678875585836,2,5
NONE,1.75,0.4,YTD_2026,28,0.5714285714285714,0.5333333333333333,-0.19999999999999998,-0.22301342073563676,-0.23452013110345518,-5.6,5.599999999999998,0,1
