slot,family,sl,rr,n_train,evc_train,evs_train,n_oos,evc_oos,evs_oos,n_2026,evc_2026,evs_2026,n_full,evc_full,evs_full,pf_full,days_full,robust_score,freq_score
LON_H1,RANGE_DI_CONT_G5,3.0,1.5,215,0.0009931824549115843,-0.004289252362199134,96,0.06880789812966477,0.06323807272094516,9,0.15905617637456332,0.15339452109256302,311,0.02192634227734343,0.016555195251890413,1.0898736511916438,311,0.017514963371341848,18.417574816856707
LON_H1,DI_CONT_A20_G5,2.25,0.4,175,0.00176395537934341,-0.004994373525328305,80,0.13547352160086615,0.1279482025063968,10,0.10497778760782388,0.0974666814117358,255,0.04371205458609564,0.03671310130815408,1.2425645243338765,255,0.02816810852684665,17.790840542634232
LON_H2,RANGE_DI_CONT_G5,1.5,0.3,172,0.023064927249198633,0.013085762966821197,71,0.002538611274216165,-0.008868139426703921,10,0.018128452363248636,0.0071926785448730105,243,0.017067526285314872,0.006671248275708922,1.1877551020408161,243,0.03957303336848609,17.48786516684243
LON_H2,RANGE_DI_CONT_G5,2.0,0.3,172,0.0734618341679918,0.06597746095620874,71,0.0018026146115433352,-0.006752448414146721,10,0.02359633927243653,0.015394508908654764,243,0.05252436672557271,0.04472715821836826,1.3863237118626461,243,0.028099980842931825,17.43049990421466
LON_H1,DI_CONT_A20_G10,1.5,0.75,118,0.07311681532227152,0.06330245460291085,51,0.11001118024897752,0.098840299785231,6,0.14299730040266934,0.13116261727067066,169,0.08425061775577451,0.07402689308988318,1.2884906168566936,169,0.9505185991895297,15.822592995947648
LON_H1,DI_CONT_A20_G10,1.5,0.6,118,0.0708534670104568,0.06103910629109614,51,0.16981510181760498,0.15864422135385844,6,0.30966396706933597,0.2978292839373373,169,0.10071762899367903,0.09049390432778771,1.4095379647400594,169,0.9210950711359385,15.675475355679692
LON_H1,DI_CONT_A20_G10,1.5,1.0,118,0.05565371790910335,0.04583935718974267,51,0.21873531072540267,0.20756443026165614,6,0.309663967069336,0.2978292839373373,169,0.10486768970573805,0.09464396503984676,1.2993713036936032,169,0.7234983328183435,14.687491664091718
LON_H1,DI_CONT_A20_G10,1.5,1.5,118,0.05009550474631345,0.040281144026952743,51,0.13245995654672352,0.12128907608297698,6,0.49280718098848825,0.4809724978564896,169,0.07495104937247266,0.06472732470658134,1.187782185074748,169,0.6512415617020748,14.326207808510375
LON_H1,DI_CONT_A20_G10,2.0,0.6,118,0.05345293028871048,0.046092159749189975,51,0.14402799302987035,0.1356498326820605,6,0.048914641968668626,0.04003862961966964,169,0.08078623324610193,0.07311843974668344,1.3168909156778754,169,0.6358903455926921,14.24945172796346
LON_H1,DI_CONT_A20_G10,2.0,0.75,118,0.03951399718627574,0.03215322664675525,51,0.19578823335535425,0.18741007300754436,6,0.14891464196866863,0.14003862961966967,169,0.08667367792368995,0.07900588442427148,1.2943435536266135,169,0.5136819634215846,13.638409817107924
LON_H1,DI_CONT_A20_G10,2.0,1.0,118,0.03571106870668214,0.028350298167161635,51,0.12353789605317889,0.11515973570536904,6,0.2624738265755136,0.2535978142265147,169,0.062215022521305396,0.05454722902188693,1.1854520615414723,169,0.4642438931868679,13.39121946593434
LON_H1,DI_CONT_A20_G10,2.25,0.4,118,0.03296392433062674,0.026421017184386296,51,0.16549764957774976,0.15805039593525205,6,0.15088708915733515,0.1429973004026693,169,0.07295930887265796,0.06614349242873038,1.398192615223379,169,0.4285310162981476,13.212655081490738
LON_H1,DI_CONT_A20_G10,3.0,0.3,118,0.029470097630078244,0.02456291727039792,51,0.17089016354436626,0.16530472331249307,6,0.2881653168680013,0.28224797530200196,169,0.07214715894149061,0.06703529660854497,1.5302486871592285,169,0.3831112691910172,12.985556345955086
LON_OPEN,DI_CONT_A20_G10,2.0,0.4,70,0.10311161722888329,0.09466742584332495,26,0.1135515568423506,0.10494271987891052,5,0.10302739688462084,0.0945410953269313,96,0.10593910087419733,0.0974503179779627,1.6210526315789469,96,1.009458207578121,12.927291037890605
LON_OPEN,FALL_CONT_G10,2.0,0.4,70,0.10311161722888329,0.09466742584332495,26,0.1135515568423506,0.10494271987891052,5,0.10302739688462084,0.0945410953269313,96,0.10593910087419733,0.0974503179779627,1.6210526315789469,96,1.009458207578121,12.927291037890605
LON_H1,DI_CONT_A20_G10,3.0,0.4,118,0.04047233401501702,0.03556515365533672,51,0.17704887540989098,0.1714634351780177,6,0.02775299168142839,0.02183565011542904,169,0.08168773999808548,0.07657587766513986,1.4745926480920608,169,0.3607888918585691,12.873944459292845
LON_H1,DI_CONT_A20_G10,2.5,0.4,118,0.025478593793741386,0.019589977362125,51,0.186435604694905,0.179733076416657,6,0.1638307942916375,0.15672998441243835,169,0.07405141956864875,0.06791718476911394,1.4011971645233596,169,0.33122171931863803,12.72610859659319
LON_H1,DI_CONT_A20_G10,3.0,0.6,118,0.024534343353507827,0.019627162993827486,51,0.18541191144387364,0.17982647121200038,6,0.1610863250147617,0.15516898344876234,169,0.07308319526243479,0.0679713329294891,1.3120447245471842,169,0.31894646359560175,12.66473231797801
LON_H1,DI_CONT_A20_G10,2.25,0.6,118,0.022385074100467865,0.015842166954227452,51,0.16897536098695826,0.16152810734446058,6,0.050887089157335065,0.042997300402669324,169,0.06662237961059218,0.05980656316666467,1.262036682891094,169,0.29100596330608225,12.525029816530411
