symbol,signal,R,reason
GBPUSD,2026-04-17 07:00:00+00:00,0.16693766937677476,time
GBPUSD,2026-04-21 07:00:00+00:00,-0.5850091407677577,time
GBPUSD,2026-05-06 07:00:00+00:00,1.086011035378069,time
GBPUSD,2026-05-07 07:00:00+00:00,-0.29333333333328415,time
GBPUSD,2026-05-12 07:00:00+00:00,-1.0,SL
GBPUSD,2026-05-14 07:00:00+00:00,0.22728842832467974,time
GBPUSD,2026-05-20 07:00:00+00:00,-1.0,SL
GBPUSD,2026-05-27 07:00:00+00:00,0.4484099748342313,time
GBPUSD,2026-06-05 07:00:00+00:00,1.3352601156068846,time
GBPUSD,2026-06-09 07:00:00+00:00,1.3288945795987985,time
GBPUSD,2026-06-22 07:00:00+00:00,-1.0,SL
GBPUSD,2026-06-23 07:00:00+00:00,0.5451061546716193,time
GBPUSD,2026-06-26 07:00:00+00:00,0.2187863674148858,time
GBPUSD,2026-06-29 07:00:00+00:00,-1.0,SL
GBPUSD,2026-07-01 07:00:00+00:00,-0.18206448117037421,time
GBPUSD,2026-07-02 07:00:00+00:00,-1.0,SL
GBPUSD,2026-07-09 07:00:00+00:00,0.9838187702265613,time
GBPUSD,2026-07-29 07:00:00+00:00,-1.0,SL
GBPUSD,2026-08-05 07:00:00+00:00,-1.0,SL
AUDUSD,2026-01-12 08:00:00+00:00,-1.0,SL
AUDUSD,2026-01-20 08:00:00+00:00,0.09190874774330214,time
AUDUSD,2026-01-21 08:00:00+00:00,-1.0,SL
AUDUSD,2026-02-09 08:00:00+00:00,-1.0,SL
AUDUSD,2026-02-13 08:00:00+00:00,-1.0,SL
AUDUSD,2026-02-25 08:00:00+00:00,0.19567979669634517,time
AUDUSD,2026-03-03 08:00:00+00:00,0.6657156443176419,time
AUDUSD,2026-03-13 08:00:00+00:00,0.7224199288256095,time
AUDUSD,2026-03-19 08:00:00+00:00,-1.0,SL
AUDUSD,2026-04-01 07:00:00+00:00,-1.0,SL
AUDUSD,2026-04-06 07:00:00+00:00,-1.0,SL
AUDUSD,2026-04-14 07:00:00+00:00,1.3350515463917594,time
AUDUSD,2026-04-23 07:00:00+00:00,-1.0,SL
AUDUSD,2026-04-27 07:00:00+00:00,1.1117037037036308,time
AUDUSD,2026-05-06 07:00:00+00:00,-1.0,SL
AUDUSD,2026-05-07 07:00:00+00:00,-0.28024727700912916,time
AUDUSD,2026-05-12 07:00:00+00:00,0.5297718419588291,time
AUDUSD,2026-05-27 07:00:00+00:00,0.39865996649916857,time
AUDUSD,2026-06-23 07:00:00+00:00,-1.0,SL
AUDUSD,2026-07-27 07:00:00+00:00,0.40899795501017483,time
AUDUSD,2026-07-28 07:00:00+00:00,0.09787098824271906,time
AUDUSD,2026-07-29 07:00:00+00:00,0.28238944918541703,time
AUDUSD,2026-08-03 07:00:00+00:00,3.3333333333333335,TP
AUDUSD,2026-08-06 07:00:00+00:00,-0.6321561038542453,time
USDCHF,2026-01-02 08:00:00+00:00,-1.0,SL
USDCHF,2026-01-05 08:00:00+00:00,-1.0,SL
USDCHF,2026-01-07 08:00:00+00:00,-0.15378579835232947,time
USDCHF,2026-01-08 08:00:00+00:00,-1.0,SL
USDCHF,2026-01-12 08:00:00+00:00,-1.0,SL
USDCHF,2026-01-20 08:00:00+00:00,-0.18122977346282085,time
USDCHF,2026-02-09 08:00:00+00:00,3.3333333333333335,TP
