n,ev,pf,wr,totalR,maxDD,annual_freq,ytd2026,pos_years,recent_pf,recent_ev,old_pf,old_ev,day_policy,combo,windows,distance260,quality
3911,-0.01919118507555345,0.9539329902349619,0.45435949884939913,-75.05672483048954,95.14409301136735,268.35714285714283,154,5,0.9132249179009636,-0.03724624516070904,0.9776009764683457,-0.009163767097891256,MonThu,LON_H2+LON_H3+NY_OPEN+NY_H1,4,8.357142857142833,False
3911,0.0075236177103426595,1.0190448404450712,0.45717207875223725,29.42486886515014,61.474405617913,268.42857142857144,153,8,1.0936544963001882,0.03644707504960381,0.9883832741575921,-0.004552309820535062,MonThu,LON_H1+LON_H2+NY_H1+NY_H2,4,8.428571428571445,True
3910,0.027234836261452695,1.0649823715060973,0.4670076726342711,106.48820978228004,35.205723119617176,268.57142857142856,150,10,1.0838913988216572,0.035074583574844206,1.072971588989677,0.030071299162179686,MonThu,LON_OPEN+LON_H2+NY_OPEN+NY_H1,4,8.571428571428555,True
3653,-0.015191466005736795,0.9624171662573414,0.45277853818779085,-55.494425318956516,78.144076381375,251.28571428571428,135,7,0.9976609794600778,-0.0009433100992416962,0.9512773737454241,-0.019522654469900088,MonFri,LON_H2+LON_H3+NY_H2,3,8.714285714285722,False
3647,0.010910957168257913,1.0276623262760838,0.45928160131615026,39.79226079263661,58.44666534726605,250.71428571428572,137,7,1.1135093731440064,0.04362790162842374,1.0064974500926456,0.0025390938042491756,MonFri,LON_H1+LON_H3+NY_H2,3,9.285714285714278,True
3642,0.028142652486038772,1.068087378715852,0.4632070291048874,102.4955403541532,49.007002351590465,250.57142857142858,134,10,1.1822565846267206,0.07235303131984441,1.0450812246496077,0.018504133114910292,MonFri,LON_OPEN+LON_H2+NY_H2,3,9.428571428571416,True
3931,0.011170981118567902,1.0277290133660442,0.4624777410328161,43.913126777090426,48.41141717427701,269.85714285714283,153,9,1.100619643979262,0.039866158163407106,1.0468993325710352,0.01853035537242982,MonThu,LON_H1+LON_H2+NY_OPEN+NY_H2,4,9.857142857142833,True
3934,0.0010461763108024422,1.0026978385910352,0.45831215048296897,4.115657606696807,64.47615143595597,269.92857142857144,155,8,1.0731676054760606,0.02786708653347885,0.9618882236809466,-0.014673761422773556,MonThu,LON_H1+LON_H3+NY_H1+NY_H2,4,9.928571428571445,True
3636,0.05439555183326356,1.1347966681624697,0.46974697469746973,197.7822264657463,44.79926913545157,250.0,136,11,1.310055904023997,0.11712789608949715,1.1044660324866615,0.04181050092620134,MonFri,LON_OPEN+LON_H1+NY_H2,3,10.0,True
3933,0.02064047763128063,1.0501342464910735,0.46809051614543606,81.17899852382672,39.50227595401257,270.07142857142856,152,9,1.0642541053125734,0.026297025192143393,1.0486365525092656,0.01970143138644399,MonThu,LON_OPEN+LON_H3+NY_OPEN+NY_H1,4,10.071428571428555,True
3933,0.04720584597494697,1.1209539715930426,0.47088736333587594,185.66059221946642,32.48267902109373,270.14285714285717,151,12,1.270947081595244,0.10000438127567313,1.0638072132379608,0.02471199520274779,MonThu,LON_OPEN+LON_H1+NY_H1+NY_H2,4,10.142857142857167,True
3942,2.4242796747143555e-05,1.0000670200588189,0.4713343480466768,0.0955651047772399,43.07828245331151,270.14285714285717,160,6,0.9552868601269275,-0.016721816217541305,1.0591747651474015,0.020278690268847877,MonFri,NY_OPEN+NY_H1+NY_H2,3,10.142857142857167,False
3943,-0.017573340977804015,0.9553074584615849,0.4542226730915547,-69.29168347548124,92.17834517354216,270.64285714285717,154,5,0.9730780845134608,-0.010642153722383493,0.9333964471588307,-0.025946115618367557,MonThu,LON_H2+LON_H3+NY_H1+NY_H2,4,10.642857142857167,False
