dt,day,R,R_comm,R_stress,setup,priority
2013-02-05 07:00:00+00:00,2013-02-05,1.5,1.4906482690137692,1.4859724035206539,BASE,0
2013-02-06 07:00:00+00:00,2013-02-06,0.09336940190285503,0.08488127445714086,0.08063721073428377,BASE,0
2013-02-12 08:00:00+00:00,2013-02-12,1.5,1.489765721420917,1.4846485821313755,LON_H1|RISE_CANDLE|2.25|1.5,1
2013-02-13 08:00:00+00:00,2013-02-13,-1.0,-1.0104544892652676,-1.0156817338979012,LON_H1|RISE_CANDLE|2.25|1.5,1
2013-02-14 09:00:00+00:00,2013-02-14,0.3,0.290404395983611,0.2856065939754165,LON_H2|RANGE_DI_CONT_G5|2.0|0.3,2
2013-02-18 08:00:00+00:00,2013-02-18,0.3021219921186656,0.29133192097157046,0.2859368853980229,LON_H1|RISE_CANDLE|2.25|1.5,1
2013-02-20 07:00:00+00:00,2013-02-20,1.5,1.4881308196674825,1.4821962295012236,BASE,0
2013-02-21 07:00:00+00:00,2013-02-21,1.5,1.491248781264063,1.4868731718960946,BASE,0
2013-02-25 07:00:00+00:00,2013-02-25,1.5,1.489750991455793,1.4846264871836894,BASE,0
2013-03-04 07:00:00+00:00,2013-03-04,0.3177637336362331,0.30827824905007617,0.3035355067569977,BASE,0
2013-03-05 07:00:00+00:00,2013-03-05,-1.0,-1.0109590328791722,-1.0164385493187584,BASE,0
2013-03-12 07:00:00+00:00,2013-03-12,-1.0,-1.0131366491458302,-1.0197049737187454,BASE,0
2013-03-25 09:00:00+00:00,2013-03-25,-1.0,-1.0085228589813162,-1.0127842884719744,LON_H2|RANGE_DI_CONT_G5|2.0|0.3,2
2013-03-26 08:00:00+00:00,2013-03-26,-0.355801689472515,-0.3644271849748782,-0.3687399327260598,LON_H1|RISE_CANDLE|2.25|1.5,1
2013-03-27 07:00:00+00:00,2013-03-27,1.5,1.4886472574478438,1.4829708861717659,BASE,0
2013-04-02 07:00:00+00:00,2013-04-02,0.9807056201512936,0.9671786460802418,0.960415159044716,LON_H1|RISE_CANDLE|2.25|1.5,1
2013-04-04 07:00:00+00:00,2013-04-04,-1.0,-1.0125283043022968,-1.0187924564534452,LON_H1|RISE_CANDLE|2.25|1.5,1
2013-04-10 07:00:00+00:00,2013-04-10,-1.0,-1.0115458834715494,-1.0173188252073242,LON_H1|RISE_CANDLE|2.25|1.5,1
2013-04-15 06:00:00+00:00,2013-04-15,-1.0,-1.0114198518980901,-1.017129777847135,BASE,0
2013-04-18 06:00:00+00:00,2013-04-18,-1.0,-1.0082290225720005,-1.012343533858001,BASE,0
2013-04-23 07:00:00+00:00,2013-04-23,-0.4084730450030256,-0.41660186181900594,-0.4206662702269961,LON_H1|RISE_CANDLE|2.25|1.5,1
2013-04-24 07:00:00+00:00,2013-04-24,-1.0,-1.0120439923809543,-1.0180659885714314,LON_H1|RISE_CANDLE|2.25|1.5,1
2013-04-25 06:00:00+00:00,2013-04-25,-1.0,-1.0123264978975182,-1.0184897468462772,BASE,0
2013-04-29 06:00:00+00:00,2013-04-29,0.794905570161726,0.7834680799435717,0.7777493348344946,BASE,0
2013-05-01 07:00:00+00:00,2013-05-01,1.5,1.4870869986595154,1.480630497989273,LON_H1|RISE_CANDLE|2.25|1.5,1
2013-05-06 07:00:00+00:00,2013-05-06,-1.0,-1.0102961905336612,-1.0154442858004917,LON_H1|RISE_CANDLE|2.25|1.5,1
