period,cost_model,risk_pct,trades,payouts,breaches,accounts_used,resolved_accounts,successful_accounts,payout_before_breach_rate,user_payouts,activation_costs,net_cash,avg_payout,avg_first_payout_days,median_first_payout_days,median_payout_gap_days,first_payout_date,total_trading_costs,avg_trading_cost_per_trade,max_lots,net_cash_per_year
FULL_2012_2026,COMM_PLUS_0P2,0.0225,930,25,59,60,60,23,0.38333333333333336,365718.6452577472,32940.0,332778.6452577472,14628.745810309889,113.78260869565217,103.0,160.0,2012-10-31,47256.77420252789,50.8137357016429,19.664872902074578,22911.85677292972
FULL_2012_2026,COMM_PLUS_0P2,0.025,930,25,63,64,64,23,0.359375,416585.4851490524,35136.0,381449.4851490524,16663.419405962097,116.69565217391305,103.0,158.0,2012-10-31,52507.52689169761,56.45970633515872,21.84985878008286,26262.85098033768
FULL_2012_2026,COMM_PLUS_0P2,0.027,930,25,63,64,64,23,0.359375,447717.7717668431,35136.0,412581.7717668431,17908.710870673724,116.95652173913044,103.0,158.0,2012-10-31,56708.12904303349,60.976482841971496,23.59784748248949,28406.3133153326
FULL_2012_2026,COMM_PLUS_0P2,0.028,930,26,65,66,66,23,0.3484848484848485,477302.88176618767,36234.0,441068.88176618767,18357.803144853373,112.78260869565217,103.0,148.0,2012-10-31,58808.430118701406,63.234871095377855,24.471841833692807,30367.654866182856
FULL_2012_2026,COMM_PLUS_0P2,0.029,930,26,92,93,93,23,0.24731182795698925,493809.1309246955,51057.0,442752.1309246955,18992.658881719057,95.73913043478261,71.0,148.0,2012-10-31,60908.73119436926,65.49325934878415,25.345836184896122,30483.546808717256
YTD_2026,COMMISSION,0.005,28,1,1,2,1,1,1.0,3250.0797062890024,1098.0,2152.0797062890024,3250.0797062890024,178.0,178.0,,2026-07-02,230.12156705238354,8.218627394727983,3.2610830679342695,3969.9349127376668
YTD_2026,COMMISSION,0.006,28,1,1,2,1,1,1.0,3900.0956475468006,1098.0,2802.0956475468006,3900.0956475468006,178.0,178.0,,2026-07-02,276.1458804628602,9.862352873673577,3.9132996815211234,5169.01734983065
YTD_2026,COMMISSION,0.0075,28,1,1,2,1,1,1.0,4875.1195594335095,1098.0,3777.1195594335095,4875.1195594335095,178.0,178.0,,2026-07-02,345.18235057857527,12.327941092091974,4.8916246019014045,6967.641005470147
YTD_2026,COMMISSION,0.008,28,1,1,2,1,1,1.0,5200.127530062432,1098.0,4102.127530062432,5200.127530062432,178.0,178.0,,2026-07-02,368.1945072838136,13.149803831564771,5.217732908694831,7567.182224016683
YTD_2026,COMMISSION,0.01,28,1,1,2,1,1,1.0,6500.159412578028,1098.0,5402.159412578028,6500.159412578028,178.0,178.0,,2026-07-02,460.2431341047671,16.437254789455967,6.522166135868539,9965.34709820265
YTD_2026,COMMISSION,0.0125,28,1,1,2,1,1,1.0,8125.199265722535,1098.0,7027.199265722535,8125.199265722535,178.0,178.0,,2026-07-02,575.3039176309588,20.546568486819957,8.152707669835674,12963.053190935128
YTD_2026,COMMISSION,0.015,28,1,1,2,1,1,1.0,9750.239118866995,1098.0,8652.239118866995,9750.239118866995,178.0,178.0,,2026-07-02,690.3647011571505,24.655882184183948,9.783249203802809,15960.759283667525
YTD_2026,COMMISSION,0.0175,28,1,1,2,1,1,1.0,11375.278972011525,1098.0,10277.278972011525,11375.278972011525,178.0,178.0,,2026-07-02,805.4254846833425,28.765195881547946,11.413790737769945,18958.465376400047
YTD_2026,COMMISSION,0.02,28,1,1,2,1,1,1.0,13000.31882515602,1098.0,11902.31882515602,13000.31882515602,178.0,178.0,,2026-07-02,920.4862682095342,32.87450957891193,13.044332271737078,21956.171469132507
YTD_2026,COMMISSION,0.0225,28,1,1,2,1,1,1.0,14625.358678300516,1098.0,13527.358678300516,14625.358678300516,178.0,178.0,,2026-07-02,1035.547051735726,36.98382327627593,14.674873805704214,24953.877561864963
YTD_2026,COMMISSION,0.025,28,1,1,2,1,1,1.0,16250.398531445024,1098.0,15152.398531445024,16250.398531445024,178.0,178.0,,2026-07-02,1150.6078352619177,41.093136973639915,16.30541533967135,27951.583654597445
YTD_2026,COMMISSION,0.027,28,1,1,2,1,1,1.0,17550.430413960632,1098.0,16452.430413960632,17550.430413960632,178.0,178.0,,2026-07-02,1242.6564620828713,44.38058793153112,17.609848566845056,30349.748528783435
YTD_2026,COMMISSION,0.028,28,1,1,2,1,1,1.0,18200.446355218442,1098.0,17102.446355218442,18200.446355218442,178.0,178.0,,2026-07-02,1288.680775493348,46.024313410476715,18.26206518043191,31548.83096587644
YTD_2026,COMMISSION,0.029,28,1,1,2,1,1,1.0,18850.46229647624,1098.0,17752.46229647624,18850.46229647624,178.0,178.0,,2026-07-02,1334.7050889038246,47.668038889422306,18.914281794018763,32747.91340296942
YTD_2026,COMM_PLUS_0P2,0.005,28,1,1,2,1,1,1.0,3171.6678415961214,1098.0,2073.6678415961214,3171.6678415961214,178.0,178.0,,2026-07-02,345.1823505785753,12.327941092091976,3.2610830679342695,3825.2887835504207
YTD_2026,COMM_PLUS_0P2,0.006,28,1,1,2,1,1,1.0,3806.001409915369,1098.0,2708.001409915369,3806.001409915369,178.0,178.0,,2026-07-02,414.21882069429046,14.793529310510374,3.9132996815211234,4995.441994806002
YTD_2026,COMM_PLUS_0P2,0.0075,28,1,1,2,1,1,1.0,4757.501762394211,1098.0,3659.5017623942113,4757.501762394211,178.0,178.0,,2026-07-02,517.773525867863,18.491911638137964,4.8916246019014045,6750.671811689321
YTD_2026,COMM_PLUS_0P2,0.008,28,1,1,2,1,1,1.0,5074.668546553807,1098.0,3976.6685465538067,5074.668546553807,178.0,178.0,,2026-07-02,552.2917609257204,19.724705747347155,5.217732908694831,7335.74841731706
YTD_2026,COMM_PLUS_0P2,0.01,28,1,1,2,1,1,1.0,6343.335683192255,1098.0,5245.335683192255,6343.335683192255,178.0,178.0,,2026-07-02,690.3647011571506,24.65588218418395,6.522166135868539,9676.054839828135
YTD_2026,COMM_PLUS_0P2,0.0125,28,1,1,2,1,1,1.0,7929.1696039903445,1098.0,6831.1696039903445,7929.1696039903445,178.0,178.0,,2026-07-02,862.9558764464382,30.819852730229936,8.152707669835674,12601.437867967035
YTD_2026,COMM_PLUS_0P2,0.015,28,1,1,2,1,1,1.0,9515.003524788377,1098.0,8417.003524788377,9515.003524788377,178.0,178.0,,2026-07-02,1035.547051735726,36.98382327627593,9.783249203802809,15526.82089610583
YTD_2026,COMM_PLUS_0P2,0.0175,28,1,1,2,1,1,1.0,11100.837445586454,1098.0,10002.837445586454,11100.837445586454,178.0,178.0,,2026-07-02,1208.138227025014,43.14779382232193,11.413790737769945,18452.203924244706
YTD_2026,COMM_PLUS_0P2,0.02,28,1,1,2,1,1,1.0,12686.671366384533,1098.0,11588.671366384533,12686.671366384533,178.0,178.0,,2026-07-02,1380.7294023143013,49.3117643683679,13.044332271737078,21377.586952383586
YTD_2026,COMM_PLUS_0P2,0.0225,28,1,1,2,1,1,1.0,14272.5052871826,1098.0,13174.5052871826,14272.5052871826,178.0,178.0,,2026-07-02,1553.320577603589,55.4757349144139,14.674873805704214,24302.969980522445
YTD_2026,COMM_PLUS_0P2,0.025,28,1,1,2,1,1,1.0,15858.339207980644,1098.0,14760.339207980644,15858.339207980644,178.0,178.0,,2026-07-02,1725.9117528928764,61.63970546045987,16.30541533967135,27228.35300866126
YTD_2026,COMM_PLUS_0P2,0.027,28,1,1,2,1,1,1.0,17127.00634461909,1098.0,16029.00634461909,17127.00634461909,178.0,178.0,,2026-07-02,1863.984693124307,66.57088189729667,17.609848566845056,29568.659431172335
YTD_2026,COMM_PLUS_0P2,0.028,28,1,1,2,1,1,1.0,17761.33991293835,1098.0,16663.33991293835,17761.33991293835,178.0,178.0,,2026-07-02,1933.0211632400217,69.03647011571506,18.26206518043191,30738.81264242794
YTD_2026,COMM_PLUS_0P2,0.029,28,1,1,2,1,1,1.0,18395.673481257552,1098.0,17297.673481257552,18395.673481257552,178.0,178.0,,2026-07-02,2002.0576333557367,71.50205833413345,18.914281794018763,31908.965853683436
