slot1,slot2,period,cost_model,trades_used,payouts,breaches,accounts_used,user_paid,account_costs,net_cash,avg_payout,payout_before_breach_rate,resolved_accounts,successful_accounts,avg_first_payout_days,median_first_payout_days,first_portfolio_payout_date,first_portfolio_payout_days,median_gap_days,slot1_used,slot2_used
LON_H1,NY_H2,YTD_2026,COMMISSION,200,10,11,13,30652.69170238112,7137.0,23515.69170238112,3065.2691702381117,0.6666666666666666,12,8,23.125,22.5,2026-02-09,39,15.0,94,106
LON_H1,NY_H2,YTD_2026,COMM_PLUS_0P2,200,10,11,13,29418.343981593745,7137.0,22281.343981593745,2941.8343981593744,0.6666666666666666,12,8,23.375,22.5,2026-02-09,39,16.0,94,106
LON_H2,NY_OPEN,FULL_2012_2026,COMMISSION,5099,181,324,326,575556.7990899446,178974.0,396582.7990899446,3179.8718181764893,0.44,325,143,27.55944055944056,21.0,2012-02-08,38,20.0,2355,2744
LON_H2,NY_OPEN,FULL_2012_2026,COMM_PLUS_0P2,5099,177,328,330,550848.0295157454,181170.0,369678.02951574535,3112.1357599759626,0.42378048780487804,328,139,28.33093525179856,22.0,2012-02-08,38,20.0,2355,2744
LON_H2,NY_OPEN,YTD_2026,COMMISSION,203,7,15,17,20856.396349338807,9333.0,11523.396349338807,2979.485192762687,0.3125,16,5,27.0,24.0,2026-02-20,50,21.0,93,110
LON_H2,NY_OPEN,YTD_2026,COMM_PLUS_0P2,203,7,16,18,20296.68909063869,9882.0,10414.68909063869,2899.5270129483843,0.3125,16,5,34.6,31.0,2026-02-23,53,20.0,93,110
LON_H2,NY_H1,FULL_2012_2026,COMMISSION,4769,203,291,293,631680.6841290952,160857.0,470823.68412909517,3111.7275080250993,0.5395189003436426,291,157,30.471337579617835,23.0,2012-01-17,16,19.0,2355,2414
LON_H2,NY_H1,FULL_2012_2026,COMM_PLUS_0P2,4769,192,288,290,581493.2187731242,159210.0,422283.21877312416,3028.610514443355,0.5208333333333334,288,150,30.033333333333335,21.0,2012-01-17,16,19.0,2355,2414
LON_H2,NY_H1,YTD_2026,COMMISSION,196,6,17,19,19210.104411092194,10431.0,8779.104411092194,3201.6840685153657,0.35294117647058826,17,6,16.166666666666668,14.5,2026-02-23,53,11.0,93,103
LON_H2,NY_H1,YTD_2026,COMM_PLUS_0P2,196,5,16,18,16089.722110637067,9882.0,6207.722110637067,3217.9444221274134,0.3125,16,5,16.2,14.0,2026-02-23,53,10.5,93,103
LON_H2,NY_H2,FULL_2012_2026,COMMISSION,4941,204,289,291,637435.6807687654,159759.0,477676.6807687654,3124.684709650811,0.5620689655172414,290,163,30.9079754601227,21.0,2012-02-08,38,19.0,2355,2586
LON_H2,NY_H2,FULL_2012_2026,COMM_PLUS_0P2,4941,199,291,293,606597.0842338915,160857.0,445740.08423389145,3048.226553939153,0.5445205479452054,292,159,30.61006289308176,21.0,2012-02-08,38,20.0,2355,2586
