slot,family,sl,rr,n_train,evc_train,evs_train,n_oos,evc_oos,evs_oos,n_2026,evc_2026,evs_2026,n_full,evc_full,evs_full,pf_full,days_full
LON_H1,RISE_CANDLE,2.25,0.6,286,-0.007368368115400659,-0.014506173540120518,136,0.023882042083852677,0.01630207859816051,19,-0.0017280603387274049,-0.010299488738014024,422,0.0027028541289084726,-0.004577447732522831,1.049848249187848,422
LON_H1,RISE_CANDLE,2.25,0.75,286,-0.02367471613288625,-0.0308125215576061,136,0.05007981412102683,0.042499850635334666,19,0.0764412237897748,0.0678697953904882,422,9.451636600516403e-05,-0.007185785495426148,1.0377755008254534,422
LON_H1,RISE_CANDLE,2.25,1.0,286,0.018256984469999286,0.011119179045279442,136,0.02428389438565562,0.016703930899963453,19,0.1367263829509302,0.1281549545516436,422,0.02019930614897858,0.012919004287547263,1.08205294108301,422
LON_H1,RISE_CANDLE,2.25,1.5,286,0.028116382093570272,0.02097857666885041,136,0.03057274439672424,0.022992780911032053,19,0.1946528151113471,0.18608138671206054,422,0.028908005963781035,0.021627704102349706,1.0967127641137346,422
LON_H1,RISE_CANDLE,2.5,0.3,286,0.014822122248572718,0.008398097366324846,136,0.0489045636015409,0.04208259646441794,19,0.07930827098654725,0.07159398542718927,422,0.02580603699739659,0.0192537653221084,1.1995133714953805,422
LON_H1,RISE_CANDLE,2.5,0.4,286,0.0012157329705763545,-0.005208291911671524,136,0.0590807604353034,0.052258793298180464,19,0.09342377016024284,0.08570948460088489,422,0.019864177840725368,0.013311906165437181,1.1322666266971115,422
LON_H1,RISE_CANDLE,2.5,0.6,286,-0.010863949248821211,-0.017287974131069087,136,0.05030422242785148,0.043482255290728515,19,0.0013336532160718232,-0.006380632343286166,422,0.00884901603086477,0.002296744355576581,1.0656783957726517,422
LON_H1,RISE_CANDLE,2.5,0.75,286,-0.012368712125826058,-0.01879273700807394,136,0.00675643142342235,-6.55357137006106e-05,19,0.04168337625079102,0.03396909069143308,422,-0.006205158754504309,-0.012757430429792485,1.0180949219462645,422
LON_H1,RISE_CANDLE,2.5,1.0,286,0.014066248133036459,0.007642223250788593,136,-0.021266243441150183,-0.028088210578273157,19,0.07160464500594797,0.06389035944659002,422,0.0026794735972796354,-0.003872798078008564,1.0384269297183544,422
LON_H1,RISE_CANDLE,2.5,1.5,286,0.03022320607334252,0.023799181191094636,136,-0.0013592238992108602,-0.008181191036333824,19,0.17877671698443434,0.17106243142507635,422,0.020044982195931958,0.013492710520643764,1.0776577226500041,422
LON_H1,RISE_CANDLE,3.0,0.3,286,-0.0006599079461816877,-0.00601326201472158,136,0.07247681000046381,0.06679183738619468,19,0.09595642871312929,0.08952785741366429,422,0.02291021916458558,0.017449992768512092,1.1764212490645771,422
LON_H1,RISE_CANDLE,3.0,0.4,286,0.0025229012806713444,-0.0028304527878685384,136,0.039312535416308456,0.03362756280203932,19,0.06401728414135646,0.0575887128418915,422,0.014379276262772401,0.008919049866698921,1.1027683644521677,422
LON_H1,RISE_CANDLE,3.0,0.6,286,-0.019203174520186928,-0.02455652858872681,136,0.07011790619970228,0.06443293358543314,19,0.17051971441083874,0.16409114311137377,422,0.009582766185748928,0.004122539789675439,1.065814756736833,422
LON_H1,RISE_CANDLE,3.0,0.75,286,-0.009990583957093667,-0.015343938025633557,136,0.05226686821755429,0.046581895603285135,19,0.23364759029281015,0.2272190189933452,422,0.010073429066015625,0.0046132026699421316,1.0615804345135837,422
LON_H1,RISE_CANDLE,3.0,1.0,286,-0.003326320994877127,-0.008679675063417009,136,0.019797067916348655,0.014112095302079549,19,0.22006020234583992,0.21363163104637495,422,0.004125766426750148,-0.001334459969323347,1.0423705508770267,422
LON_H1,RISE_CANDLE,3.0,1.5,286,0.0010849287802744186,-0.0042684252882654655,136,0.0470642782072638,0.04137930559299468,19,0.22738357688110844,0.22095500558164352,422,0.015902918169067196,0.01044269177299371,1.072925769413744,422
LON_H2,DI_CONT_A20_G10,1.5,0.3,156,-0.006089629629820588,-0.015881764574883113,68,-0.046098095816753705,-0.056647143725130564,8,-0.20828413884450162,-0.2186762082667525,224,-0.01823505686513958,-0.02825696895977966,1.0079141552414115,224
LON_H2,DI_CONT_A20_G10,1.5,0.4,156,0.008653960113769173,-0.0011381748312933493,68,-0.012274566404988984,-0.0228236143133658,8,-0.14578413884450164,-0.15617620826675244,224,0.0023006574205747293,-0.007721254674065356,1.0831493896034547,224
LON_H2,DI_CONT_A20_G10,1.5,0.6,156,0.03188855232014264,0.022096417375080134,68,0.03772543359501098,0.027176385686634153,8,-0.4207841388445016,-0.4311762082667525,224,0.03366046270715626,0.02363855061251616,1.1598752301452442,224
LON_H2,DI_CONT_A20_G10,1.5,0.75,156,0.047118564161478284,0.037326429216415775,68,0.08367199526302525,0.07312294735464842,8,-0.36453413884450164,-0.3749262082667525,224,0.05821514146016219,0.0481932293655221,1.208084458906036,224
LON_H2,DI_CONT_A20_G10,1.5,1.0,156,0.06941593057052596,0.059623795625463424,68,0.17254201001004227,0.16199296210166536,8,-0.27078413884450164,-0.2811762082667525,224,0.10072206182895052,0.09070014973431047,1.2863345039141618,224
LON_H2,DI_CONT_A20_G10,1.5,1.5,156,0.07983544823414301,0.0700433132890805,68,0.11345400275590237,0.10290495484752553,8,-0.3957841388445016,-0.40617620826675244,224,0.09004108085681997,0.08001916876217988,1.2167822365050966,224
LON_H2,DI_CONT_A20_G10,2.0,0.3,156,0.027908279148257324,0.020564177939460436,68,-0.02170592480374175,-0.029617710735024387,8,-0.20308810413337625,-0.21088215620006437,224,0.012846824377114735,0.005330390306134675,1.1350136855853263,224
LON_H2,DI_CONT_A20_G10,2.0,0.4,156,0.022176413405752785,0.014832312196955891,68,-0.027588277744918187,-0.03550006367620083,8,-0.4905881041333762,-0.49838215620006426,224,0.007069275020727671,-0.000447159050252404,1.0835521785501043,224
LON_H2,DI_CONT_A20_G10,2.0,0.6,156,0.04806656731556228,0.04072246610676539,68,0.041062819976680695,0.03315103404539807,8,-0.4155881041333762,-0.4233821562000643,224,0.04594042973054465,0.03842399565956461,1.1879838408362804,224
LON_H2,DI_CONT_A20_G10,2.0,0.75,156,0.05798951458396937,0.0506454133751725,68,0.11518899068927609,0.10727720475799342,8,-0.35933810413337613,-0.36713215620006434,224,0.07535364125879461,0.06783720718781457,1.2577084462372794,224
LON_H2,DI_CONT_A20_G10,2.0,1.0,156,0.01648611652475966,0.009142015315962766,68,0.0404296766358177,0.032517890704535084,8,-0.5155881041333762,-0.5233821562000643,224,0.023754697272759414,0.016238263201779367,1.0920289541913177,224
LON_H2,DI_CONT_A20_G10,2.0,1.5,156,-0.011117261751085005,-0.01846136295988189,68,0.0958737571123781,0.08796197118109546,8,-0.3905881041333762,-0.3983821562000643,224,0.02136215468960915,0.013845720618629086,1.0788736270598622,224
LON_H2,DI_CONT_A20_G10,2.25,0.3,156,0.01671866500586717,0.010190575042492146,68,-0.019947750152345598,-0.026980448757930174,8,-0.36385609256300105,-0.37078413884450157,224,0.005587788975695439,-0.0010934857540646303,1.0890749081361841,224
LON_H2,DI_CONT_A20_G10,2.25,0.4,156,0.02472976066481705,0.01820167070144204,68,-0.02583010309352205,-0.032862801699106624,8,-0.488856092563001,-0.49578413884450157,224,0.009381230595321251,0.002699955865561198,1.086807799675605,224
LON_H2,DI_CONT_A20_G10,2.25,0.6,156,0.02966553636543801,0.023137446402063,68,0.0655852517439776,0.05855255313839304,8,-0.41385609256300104,-0.4207841388445016,224,0.0405697356767804,0.03388846094702033,1.1654659716526627,224
LON_H2,DI_CONT_A20_G10,2.25,0.75,156,0.036695330637459764,0.030167240674084755,68,0.05777025164835843,0.05073755304277386,8,-0.3576060925630011,-0.36453413884450164,224,0.043093074515768305,0.03641179978600823,1.1579105476382947,224
LON_H2,DI_CONT_A20_G10,2.25,1.0,156,0.008397419681019324,0.0018693297176443223,68,0.10387921219160354,0.09684651358601895,8,-0.2638560925630011,-0.27078413884450164,224,0.03738296383601812,0.030701689106258045,1.124686564736807,224
LON_H2,DI_CONT_A20_G10,2.25,1.5,156,-0.049161741620876234,-0.05568983158425125,68,0.038870785671817176,0.031838087066232625,8,-0.19048022186218705,-0.19740826814368762,224,-0.022437581549880015,-0.029118856279640077,0.9797989910506547,224
