symbol,hour,rank,entry_mode,filter,day_policy,atr_period,sl_atr,tp_atr,rr,expiry_h,hold_h,n,wr,pf,ev,sumR,ddR,trades_year,old_n,old_pf,old_ev,mid_n,mid_pf,mid_ev,recent_n,recent_pf,recent_ev,min_pf,min_ev,robust,data_start,data_end
USDCHF,2,11,breakout,adx_di,TueThu,28,2.25,0.75,0.3333333333333333,1,8,253,0.7944664031620553,1.3686550489737828,0.07077029615665818,17.90488492763452,4.89148899289305,27.207905487468256,97,1.4066282526344194,0.07549858591856178,92,1.374841311419326,0.07153828362536988,64,1.3076923076923075,0.06249999999999997,1.3076923076923075,0.06249999999999997,True,2012-11-15,2022-03-04
USDCHF,2,12,breakout,adx_di,TueThu,28,2.25,0.75,0.3333333333333333,1,24,253,0.7984189723320159,1.3431673704236464,0.06799632601386293,17.20307048150732,5.33333333333333,27.207905487468256,97,1.3416787247236777,0.0673856063385635,92,1.3703703703703702,0.07246376811594199,64,1.3076923076923075,0.06249999999999997,1.3076923076923075,0.06249999999999997,True,2012-11-15,2022-03-04
USDCHF,2,13,breakout,adx_di,TueThu,28,2.25,0.75,0.3333333333333333,1,12,253,0.7984189723320159,1.3331468062533878,0.06632356360976992,16.77986159327179,5.33333333333333,27.207905487468256,97,1.3156375277388226,0.06302262810933124,92,1.3703703703703702,0.07246376811594199,64,1.3076923076923075,0.06249999999999997,1.3076923076923075,0.06249999999999997,True,2012-11-15,2022-03-04
USDCHF,2,14,breakout,adx_di,TueThu,28,2.25,0.75,0.3333333333333333,1,16,253,0.7984189723320159,1.3305346392386515,0.06588155406270689,16.668033177864842,5.33333333333333,27.207905487468256,97,1.3089110127553227,0.061869757847403936,92,1.3703703703703702,0.07246376811594199,64,1.3076923076923075,0.06249999999999997,1.3076923076923075,0.061869757847403936,True,2012-11-15,2022-03-04
USDCHF,2,15,breakout,adxdi_range,TueThu,20,1.5,2.25,1.5,1,4,172,0.5290697674418605,1.32248304428785,0.1263195208071727,21.726957578833705,7.674479442612455,18.497074086342057,78,1.3073445225233493,0.13124824671992888,55,1.3126232053403648,0.1157107626586075,39,1.3739112369394162,0.13142313816553444,1.3073445225233493,0.1157107626586075,True,2012-11-15,2022-03-04
USDCHF,2,16,breakout,adxdi_range,TueThu,7,2.75,3.375,1.2272727272727273,1,4,172,0.5465116279069767,1.3159344093934084,0.10560875782749864,18.164706346329766,7.46064001887272,18.497074086342057,78,1.3071972708974284,0.11031388624864433,55,1.3193894949205895,0.10065022088419037,39,1.3311434920884102,0.10319130949500084,1.3071972708974284,0.10065022088419037,True,2012-11-15,2022-03-04
USDCHF,2,17,breakout,adxdi_range,TueThu,28,1.75,2.75,1.5714285714285714,1,4,172,0.5406976744186046,1.3635249044156583,0.1248363718454218,21.47185595741255,7.953743019226708,18.497074086342057,78,1.304051966775263,0.1133815580968321,55,1.3471222625698998,0.11340457603367583,39,1.5320868321964378,0.16386776266685843,1.304051966775263,0.1133815580968321,True,2012-11-15,2022-03-04
USDCHF,2,18,breakout,adxdi_range,TueThu,28,1.75,2.5,1.4285714285714286,1,4,172,0.5465116279069767,1.3405351169364963,0.11560370242450696,19.883836817015197,8.096600162083849,18.497074086342057,78,1.309926748646137,0.11288730169706393,55,1.3036467350447174,0.09920115465029265,39,1.4681216968968482,0.1441683020225159,1.3036467350447174,0.09920115465029265,True,2012-11-15,2022-03-04
USDCHF,2,19,breakout,adxdi_range,TueThu,28,3.0,2.75,0.9166666666666666,2,4,196,0.5561224489795918,1.3371080332549603,0.07080730369450225,13.878231524122441,5.034216153453368,21.078061168157227,90,1.3449379751955768,0.07847865666796378,61,1.3020128868124714,0.057570638912987054,45,1.3644419692378618,0.07340763222918868,1.3020128868124714,0.057570638912987054,True,2012-11-15,2022-03-04
USDCHF,2,20,breakout,adx_di,TueThu,20,2.75,0.5,0.18181818181818182,1,6,253,0.8656126482213439,1.4391221365448208,0.04802292198641439,12.14979926256284,3.0852698832289462,27.207905487468256,97,1.7071496272766864,0.0675498763033419,92,1.3015192680090066,0.035253697735205786,64,1.3078941075183517,0.036783141710933526,1.3015192680090066,0.035253697735205786,True,2012-11-15,2022-03-04
USDCHF,2,21,breakout,adx_di,TueThu,28,3.0,4.5,1.5,2,8,291,0.5498281786941581,1.3509124408456994,0.11075017108005454,32.22829978429587,7.34669163458081,31.294468367008943,113,1.358508699609438,0.1250244290205468,103,1.3799611333908388,0.1109438166262875,75,1.2984530828165473,0.08897768256621962,1.2984530828165473,0.08897768256621962,True,2012-11-15,2022-03-04
USDCHF,2,22,breakout,adx_di,TueThu,28,2.25,0.75,0.3333333333333333,1,10,253,0.7944664031620553,1.3262288451733215,0.06514156240224848,16.480815287768866,5.33333333333333,27.207905487468256,97,1.2978684154496953,0.059939676506208295,92,1.3703703703703702,0.07246376811594199,64,1.3076923076923075,0.06249999999999997,1.2978684154496953,0.059939676506208295,True,2012-11-15,2022-03-04
USDCHF,2,23,breakout,adxdi_range,TueThu,28,3.0,3.0,1.0,2,4,196,0.5510204081632653,1.3266131139013413,0.06874763957555188,13.47453735680817,5.7043981220224325,21.078061168157227,90,1.2936951802375112,0.06710354971678914,61,1.3014048312461053,0.05745472946349383,45,1.433630855729227,0.08734398633386715,1.2936951802375112,0.05745472946349383,True,2012-11-15,2022-03-04
USDCHF,2,24,breakout,adx_di,TueThu,28,3.0,0.75,0.25,1,4,253,0.7391304347826086,1.4125299242972817,0.053012940553890935,13.412273960134407,2.7112790246923777,27.207905487468256,97,1.4997002240194175,0.06355965401067375,92,1.2925638259779575,0.03808088507988257,64,1.4565684101415262,0.058492907714841495,1.2925638259779575,0.03808088507988257,True,2012-11-15,2022-03-04
