scope,entry_mode,filter,day_policy,atr_period,sl_atr,tp_atr,rr,expiry_h,hold_h,positive_units,min_pf,min_ev,min_subperiod_pf,median_pf,median_ev,avg_pf,avg_ev,EURUSD_H1_pf,EURUSD_H1_ev,EURUSD_H1_n,GBPUSD_H1_pf,GBPUSD_H1_ev,GBPUSD_H1_n,AUDUSD_H1_pf,AUDUSD_H1_ev,AUDUSD_H1_n,USDCHF_H1_pf,USDCHF_H1_ev,USDCHF_H1_n,USDJPY_H1_pf,USDJPY_H1_ev,USDJPY_H1_n,EURGBP_H1_pf,EURGBP_H1_ev,EURGBP_H1_n,XAUUSD_H1_pf,XAUUSD_H1_ev,XAUUSD_H1_n,rank,EURUSD_H2_pf,EURUSD_H2_ev,EURUSD_H2_n,GBPUSD_H2_pf,GBPUSD_H2_ev,GBPUSD_H2_n,AUDUSD_H2_pf,AUDUSD_H2_ev,AUDUSD_H2_n,USDCHF_H2_pf,USDCHF_H2_ev,USDCHF_H2_n,USDJPY_H2_pf,USDJPY_H2_ev,USDJPY_H2_n,EURGBP_H2_pf,EURGBP_H2_ev,EURGBP_H2_n,XAUUSD_H2_pf,XAUUSD_H2_ev,XAUUSD_H2_n
H1,breakout,di,TueFri,7,2.5,4.5,1.8,1,24,7,1.019402033628402,0.0117384790607279,0.890888816461282,1.045178096177619,0.021708545268003407,1.0548117819132619,0.03036212233157058,1.029444829087238,0.01791496204499804,651.0,1.019402033628402,0.0117384790607279,669.0,1.045178096177619,0.021708545268003407,649.0,1.0570512206422698,0.034051793517474005,676.0,1.0891842464244614,0.04551683562780076,636.0,1.0250893828132606,0.01512564063547771,685.0,1.1183326646195817,0.0664786001665122,664.0,13,,,,,,,,,,,,,,,,,,,,,
H1,breakout,di,TueFri,28,2.25,5.0,2.2222222222222223,1,10,7,1.0193187010544746,0.007561145713568867,0.8601418426151037,1.074892005059374,0.036984764459954377,1.1079065164968764,0.04728784950934569,1.0362388896772998,0.017334792796361118,651.0,1.0565831207093044,0.028594337059006453,669.0,1.0193187010544746,0.007561145713568867,649.0,1.1332065838721876,0.06213950351419899,676.0,1.2219682159079006,0.08892434135293596,636.0,1.074892005059374,0.036984764459954377,685.0,1.2131380991975942,0.08947606166939406,664.0,14,,,,,,,,,,,,,,,,,,,,,
H1,breakout,di,TueFri,20,2.25,5.0,2.2222222222222223,1,12,7,1.0181237844364142,0.009288880395249225,0.8748019787659146,1.057873233949354,0.02846126911689475,1.0720963195824589,0.033899869523652044,1.0181237844364142,0.009288880395249225,651.0,1.0351352348226819,0.018489862083305525,669.0,1.0364968250640128,0.015634369393560575,649.0,1.057873233949354,0.02846126911689475,676.0,1.1294700520242633,0.057087109321968435,636.0,1.0837605968670097,0.04262530542947015,685.0,1.143814509913477,0.06571229092511562,664.0,15,,,,,,,,,,,,,,,,,,,,,
H1,breakout,di,TueFri,20,2.25,4.5,2.0,1,12,7,1.0179516889142795,0.009200677253831691,0.8340634899629151,1.0404553953209148,0.020082722520720155,1.0594942005636956,0.027584852520382546,1.0179516889142795,0.009200677253831691,651.0,1.0222332810024493,0.011633761963003255,669.0,1.0382884801125423,0.016401438108860644,649.0,1.0409594768159238,0.020082722520720155,676.0,1.114517409939698,0.05049405478937367,636.0,1.0404553953209148,0.02058752738548298,685.0,1.1420536718400607,0.06469378562140547,664.0,16,,,,,,,,,,,,,,,,,,,,,
H1,breakout,di,TueFri,20,2.25,5.0,2.2222222222222223,1,16,7,1.0165224651062266,0.0076279652093448865,0.8440884635843928,1.0728684336673382,0.034661933346596896,1.0595880501454147,0.030020801421914625,1.026783123526263,0.014298666797972696,651.0,1.0268375133958167,0.014671346539845986,669.0,1.0165224651062266,0.0076279652093448865,649.0,1.0978491672805761,0.049766557803245653,676.0,1.0728684336673382,0.034661933346596896,636.0,1.0802867208844622,0.04175172433160657,685.0,1.095968927157219,0.047367415924789685,664.0,17,,,,,,,,,,,,,,,,,,,,,
H1,breakout,di,TueFri,28,2.25,4.5,2.0,1,10,7,1.0148129032797193,0.005797621683939132,0.8657116106647728,1.0498247240880685,0.02453276924112631,1.0969467748412325,0.04219104470824307,1.0308632290958784,0.014763357436384442,651.0,1.048167627349588,0.02411382101377204,669.0,1.0148129032797193,0.005797621683939132,649.0,1.1246870423370063,0.058165224872891504,676.0,1.2065113164427264,0.08273203765451154,636.0,1.0498247240880685,0.02453276924112631,685.0,1.2037605812956411,0.08523248105507651,664.0,18,,,,,,,,,,,,,,,,,,,,,
H1,next_open,di,TueThu,20,1.25,5.0,4.0,0,8,7,1.014350087105073,0.007694293508334943,0.9057684963209085,1.0507145106329696,0.0299336037416777,1.076371419517253,0.04134714621382975,1.0189617948601386,0.011415955236743948,741.0,1.014350087105073,0.009386566804060047,754.0,1.0144642237408166,0.007694293508334943,805.0,1.0507145106329696,0.0299336037416777,761.0,1.1650541914055608,0.08710992567074596,739.0,1.0747901438773098,0.04732315186079778,731.0,1.196264984998901,0.09656652667444789,815.0,19,,,,,,,,,,,,,,,,,,,,,
H1,next_open,di,TueThu,20,1.5,5.0,3.3333333333333335,0,8,7,1.0141836109015026,0.006724478582819559,0.9086123434128558,1.107599185833451,0.05571103991233499,1.1009829870282306,0.049105547375746926,1.0827856102739806,0.044194180749412636,741.0,1.0168005985836026,0.009900624399676221,754.0,1.0141836109015026,0.006724478582819559,805.0,1.107599185833451,0.05571103991233499,761.0,1.1317256585136146,0.0618785326456849,739.0,1.115394549135656,0.0660236743528953,731.0,1.2383916959558068,0.09930630098740491,815.0,20,,,,,,,,,,,,,,,,,,,,,
H1,next_open,di,TueThu,20,1.75,3.0,1.7142857142857142,0,10,7,1.0141751447010825,0.006818611288508956,0.8505515273110656,1.0436024365967624,0.023763466011816482,1.0686853583594222,0.03462684568070852,1.0169985070779022,0.009194056641442188,741.0,1.0436024365967624,0.023763466011816482,754.0,1.0141751447010825,0.006818611288508956,805.0,1.1566181746680964,0.07896497184365797,761.0,1.0428792423529742,0.021271553530218208,739.0,1.073476435127612,0.03982197946869864,731.0,1.1330475679915255,0.0625532809806172,815.0,21,,,,,,,,,,,,,,,,,,,,,
H1,next_open,di,TueFri,20,2.5,3.375,1.35,0,24,7,1.0137754663951621,0.006771136132976504,0.9182129109541793,1.028635764795793,0.013312897758626818,1.0422256748893017,0.01971519739640278,1.0137754663951621,0.006771136132976504,1001.0,1.0264421567426525,0.012986857801497333,987.0,1.028635764795793,0.013312897758626818,1022.0,1.0606808762015425,0.028541434402743683,1027.0,1.0770034900254795,0.035491469119634904,994.0,1.073938043614012,0.033827165657732194,980.0,1.015103926450471,0.007075420901608003,1069.0,22,,,,,,,,,,,,,,,,,,,,,
H1,breakout,di,TueFri,28,2.25,4.0,1.7777777777777777,1,12,7,1.0135161111393451,0.006975789334486283,0.8357832643233521,1.0529751001718402,0.02622731915774951,1.0661334605457433,0.030709457136437135,1.0135161111393451,0.006975789334486283,651.0,1.0148043674233929,0.00772950211540444,669.0,1.0283354952182302,0.012047975184278562,649.0,1.0529751001718402,0.02622731915774951,676.0,1.1514468207940516,0.06501471346361816,636.0,1.0767070248265092,0.03865658847982986,685.0,1.1251493042468335,0.05831431221969314,664.0,23,,,,,,,,,,,,,,,,,,,,,
H1,breakout,di,TueFri,7,2.75,5.0,1.8181818181818181,1,10,7,1.0134519167743838,0.007490799193292321,0.8908297225443096,1.0500990729133541,0.02798334906919233,1.0884127897996727,0.0392762052688498,1.0134519167743838,0.007490799193292321,651.0,1.040165963342319,0.022418026124181388,669.0,1.022052393227942,0.007742059484218624,649.0,1.0876108331455991,0.04658120715209437,676.0,1.2310200876837607,0.08459213156932142,636.0,1.0500990729133541,0.02798334906919233,685.0,1.1744892615103495,0.07812586428964816,664.0,24,,,,,,,,,,,,,,,,,,,,,
H1,breakout,di,TueFri,10,2.25,5.0,2.2222222222222223,1,24,7,1.0133089553215697,0.008570508411992465,0.9155567896197017,1.049378130032206,0.02655258336256246,1.0533787530109107,0.03146521935753575,1.0406697990947356,0.025909442057385615,651.0,1.0133089553215697,0.008570508411992465,669.0,1.049378130032206,0.02655258336256246,649.0,1.0696630756507823,0.043477948994579164,676.0,1.1176751895550427,0.06544295087404262,636.0,1.0160915985051768,0.010294702294672031,685.0,1.0668645229168605,0.04000839950751586,664.0,25,,,,,,,,,,,,,,,,,,,,,
H1,breakout,di,TueFri,7,3.0,4.5,1.5,1,10,7,1.0132181566482477,0.0069333340821597115,0.8744404814113225,1.0454938962266513,0.01474601732160945,1.0853759416264397,0.03398963718770336,1.0166638895549374,0.008581025352583996,651.0,1.0281360599896496,0.01474601732160945,669.0,1.0454938962266513,0.014693412762458075,649.0,1.058620542910255,0.029101713321386363,676.0,1.2139866347524566,0.07280356150900476,636.0,1.0132181566482477,0.0069333340821597115,685.0,1.2215124113028797,0.09106839596472122,664.0,26,,,,,,,,,,,,,,,,,,,,,
H1,breakout,di,TueFri,20,2.0,3.0,1.5,1,10,7,1.012987525772215,0.005620671538658471,0.8980800921443107,1.0262685397010793,0.013392847321544334,1.0604303232825816,0.027507931953267246,1.0229640739054937,0.011433053412808479,651.0,1.0262685397010793,0.013392847321544334,669.0,1.012987525772215,0.005620671538658471,649.0,1.0656068987762604,0.03177468336113017,676.0,1.1475417751871657,0.06444785524028909,636.0,1.0224672074094439,0.011333966876119686,685.0,1.1251762422264118,0.05455244592232046,664.0,27,,,,,,,,,,,,,,,,,,,,,
