variant,period,trades,win_rate,PF,EV_R,EV_after_comm_R,EV_after_comm_0p2_R,total_R,max_DD_R,positive_years,years
FALL_AGREE_GAP3,RECENT,136,0.49264705882352944,1.2930656229837152,0.13587238875522445,0.11992900436073277,0.11195731216348692,18.478644870710525,6.534874564216485,5,5
FALL_AGREE_GAP3,YTD2026,14,0.5714285714285714,1.745551642649333,0.28381634617932355,0.267801867459718,0.2597946280999152,3.9734288465105294,2.0,1,1
FALL_AGREE_GAP5,FULL,257,0.42412451361867703,0.9323305737667931,-0.03513782973120673,-0.05028585257380647,-0.05785986399510634,-9.03042224092013,26.1740890358857,8,15
FALL_AGREE_GAP5,RECENT,86,0.5,1.253589390149303,0.12119089085149702,0.10533460774247208,0.09740646618795958,10.422416613228744,6.315758336285093,4,5
FALL_AGREE_GAP5,YTD2026,9,0.4444444444444444,1.1396704882569055,0.06718950093182946,0.051473399073708945,0.04361534814464867,0.6047055083864652,2.3295152464433837,1,1
FALL_AGREE_GAP10,FULL,96,0.4895833333333333,1.2588680156874381,0.11324772121599296,0.09815655162268688,0.09061096682603387,10.871781236735323,9.962139848801561,9,15
FALL_AGREE_GAP10,RECENT,26,0.6153846153846154,2.237384369346761,0.44400755152043625,0.4287029524743205,0.42105065295126265,11.544196339531343,3.0,4,5
FALL_AGREE_GAP10,YTD2026,5,0.6,3.3846922869354468,0.6340969507113232,0.6190101923865418,0.611466813224151,3.1704847535566163,1.3295152464433835,1,1
FALL_RANGE_EXPAND,FULL,1060,0.4386792452830189,0.9946586118119957,-0.002653840147181027,-0.017938651380775685,-0.025581056997573022,-2.8130705560118887,31.488355752718316,8,15
FALL_RANGE_EXPAND,RECENT,342,0.45614035087719296,1.0513195943816747,0.025341959750680022,0.009288056114862999,0.0012611042969544654,8.666950234732568,16.416218922260974,4,5
FALL_RANGE_EXPAND,YTD2026,44,0.5454545454545454,1.5523863475267192,0.2149400571311979,0.19850387871882938,0.1902857895126451,9.457362513772708,5.203490362895412,1,1
FALL_AGREE_RANGE_EXPAND,FULL,509,0.4361493123772102,1.0158975844350027,0.007970153348118193,-0.0075342435095666,-0.015286441938408998,4.05680805419216,38.46853008720123,9,15
FALL_AGREE_RANGE_EXPAND,RECENT,181,0.4972375690607735,1.302853074279561,0.13585863747001797,0.1196459696247543,0.11153963570212247,24.59041338207325,10.582689892950347,4,5
FALL_AGREE_RANGE_EXPAND,YTD2026,21,0.5714285714285714,1.6801794107167949,0.22502518156059523,0.20854258585743016,0.20030128800584765,4.7255288127725,2.203490362895412,1,1
FALL_AGREE_ADX20_GAP5,FULL,212,0.44339622641509435,0.9919064735220396,-0.004092776224132485,-0.019118871570798373,-0.026631919244131285,-0.8676685595160869,22.715633440585652,9,15
FALL_AGREE_ADX20_GAP5,RECENT,69,0.5362318840579711,1.488028467173604,0.21742560487980675,0.20145560681934516,0.19347060778911435,15.002366736706666,4.5,5,5
FALL_AGREE_ADX20_GAP5,YTD2026,7,0.42857142857142855,1.3515480984227173,0.16721210765094519,0.15119129118688976,0.14318088295486206,1.1704847535566163,2.0,1,1
FALL_AGREE_ADX25_GAP5,FULL,153,0.43137254901960786,0.9391595597094091,-0.03125901477417159,-0.04624450560124861,-0.05373725101478706,-4.782629260448253,16.57944418957823,6,15
FALL_AGREE_ADX25_GAP5,RECENT,46,0.5434782608695652,1.4508241011883825,0.19634938230289617,0.18070823928700344,0.1728876677790571,9.032071585933224,6.0,3,5
FALL_AGREE_ADX25_GAP5,YTD2026,4,0.75,13.6564242430985,1.042621188389154,1.026561463215524,1.0185316006287088,4.170484753556616,0.3295152464433835,1,1
